プラグイン名,配布元,種別,公開日,記事URL,サムネイルURL,概要,取得日時
Box of Bass,,FREE,2026-08-27,https://bedroomproducersblog.com/2026/08/27/box-of-bass/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/boxofbass.jpg,"Box of Rules has released Box of Bass, a free multi-channel bass processing rig for macOS, Windows, and Linux. We recently featured the developer’s Picking Fingers plugin, which changes the character ...",2026-08-27T22:40:03.387269+00:00
Codwaves makes Seaquake techno rumble plugin,,FREE,2026-08-27,https://bedroomproducersblog.com/2026/08/27/codwaves-seaquake-free-forever/,https://bedroomproducersblog.com/wp-content/uploads/2024/12/Codwaves-SeaquakeTechnoRumble.jpg,"Codwaves has made Seaquake, its techno rumble generator for macOS and Windows, permanently free to download. The developer confirmed that Seaquake is now free forever, so there is no deadline to claim...",2026-08-27T22:40:03.387269+00:00
Reason Free puts 15 legendary Reason devices inside your DAW for,,FREE,2026-08-27,https://bedroomproducersblog.com/2026/08/27/reason-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/reason-rack-free.jpg,"Reason Studios has launched Reason Free, a permanent freeware version of the Reason Rack with 15 instruments, effects, and creative utilities for macOS and Windows. Honestly, this may be the biggest f...",2026-08-27T22:40:03.387269+00:00
Limbus Audio offers Spatial Stage visual mixing system for F,,FREE,2026-08-27,https://bedroomproducersblog.com/2026/08/27/limbus-audio-spatial-stage/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/limbus-stage.jpg,"Limbus Audio is offering Limbus Spatial Stage, a visual spatial mixing system for macOS and Windows, as a free download. The product page currently shows a price of €0 instead of the regular €49.90, w...",2026-08-27T22:40:03.387269+00:00
OpenWav Media Browser,Samplesonics,FREE,2026-08-26,https://bedroomproducersblog.com/2026/08/26/samplesonics-openwav-media-browser/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/Samplesonics-OpenWavMediaBrowser.jpg,"From Samplesonics comes OpenWav Media Browser, a free sample management system for macOS, Windows, and Linux. I’ve always planned to use sample library organisers or managers more, but despite trying ...",2026-08-26T13:43:19.242461+00:00
ConjureAlign,ConjureDSP,FREE,2026-08-26,https://bedroomproducersblog.com/2026/08/26/conjuredsp-conjurealign/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/conjure-align.jpg,"ConjureDSP has released ConjureAlign, a free and open-source plugin that automatically time-aligns two microphones recording the same source. When you record something with multiple microphones, sound...",2026-08-26T13:43:19.242461+00:00
Metering Cockpit,Jeesonic,FREE,2026-08-26,https://bedroomproducersblog.com/2026/08/26/jeesonic-metering-cockpit/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/Jeesonic-MeteringCockpit.jpg,"Developer Jeesonic has released a free loudness meter for macOS and Windows, called Metering Cockpit. Loudness meters or analysers are rarely the first thing on our minds when we have some spare cash ...",2026-08-26T13:43:19.242461+00:00
PUNCHDUST,,FREE,2026-08-26,https://bedroomproducersblog.com/2026/08/26/punchdust-transient-shaper/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/punchdust.jpg,"MFKNE has released PUNCHDUST, a free character dynamics plugin that combines transient shaping, a reactive lo-fi texture effect, and upward compression. Honestly, this is a slightly weird combination ...",2026-08-27T10:49:46.528357+00:00
Andes JX,NoiseRoom UIO,FREE,2026-08-25,https://bedroomproducersblog.com/2026/08/25/noiseroom-andes-jx/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/andes-jx.jpg,"NoiseRoom UIO has released Andes JX, a free and open-source polyphonic subtractive synthesizer for Windows. The independent audio lab is based in Quito, Ecuador. Last year, we featured its NoiseRverb ...",2026-08-25T13:38:36.617347+00:00
HOFA SYSTEM can now host one third-party plugin for FREE,,FREE,2026-08-25,https://bedroomproducersblog.com/2026/08/25/hofa-system-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/hofa-vatra.jpg,"HOFA-Plugins has released SYSTEM ThirdPartyPluginLoader, allowing the free version of HOFA SYSTEM to host one third-party plugin at a time. HOFA SYSTEM is a modular environment for custom effect chain...",2026-08-25T13:38:36.617347+00:00
SK Rust,Studio Kozak,FREE,2026-08-25,https://bedroomproducersblog.com/2026/08/25/studio-kozak-rust/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/rust.jpg,"Studio Kozak has released SK Rust, a free lo-fi coloration plugin for macOS and Windows. The developer describes it as “the sound of something forgotten in a damp Eastern European cellar,” which is ho...",2026-08-26T13:43:19.242461+00:00
Darkpalace Studio updates,,FREE,2026-08-24,https://bedroomproducersblog.com/2026/08/24/darkpalace-studio-parrot-delay/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/parrot.jpg,"Darkpalace Studio has updated Parrot, its free multi-modal delay plugin for macOS, Windows, and Linux, to version 1.1. Parrot originally entered the KVR Developer Challenge 2026, where it finished in ...",2026-08-24T13:40:15.427701+00:00
BigBlockPre LE,Rust Romance,FREE,2026-08-24,https://bedroomproducersblog.com/2026/08/24/rust-romance-bigblockpre/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/big-block-pre-le.jpg,"Rust Romance has released BigBlockPre LE, a free discrete console preamp plugin for macOS and Windows. BigBlockPre LE is inspired by the classic API 312-style signal path, combining an input transform...",2026-08-25T02:14:54.652563+00:00
Steve Duda ports The Pink Trombone speech synthesizer into a,,FREE,2026-08-24,https://bedroomproducersblog.com/2026/08/24/steve-duda-the-pink-trombone/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/SteveDuda-PinkTrombone.jpg,"The legendary Pink Trombone speech synthesiser has been ported by Steve Duda for macOS, Windows, and Linux. Steve Duda needs no introduction around here; the Xfer Records founder has reached hero stat...",2026-08-25T02:14:54.652563+00:00
SvalaC-Audio offers its LA-2A emulation for,,LIMITED,2026-08-24,https://bedroomproducersblog.com/2026/08/24/svalac-es-a2/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/esa2.jpg,"SvalaC-Audio is offering Es-A2, its $45 analog-modeled optical compressor plugin for macOS and Windows, as a free download for a very limited time. The Payhip product page currently says the sale ends...",2026-08-25T02:14:54.652563+00:00
OpenDAW: A,,FREE,2026-08-22,https://bedroomproducersblog.com/2026/08/22/opendaw-review/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/OpenDAW.jpg,"OpenDAW isn’t the first DAW to claim free, open-source, and browser-based status, but it might be the most ambitious. OpenDAW aims to bring professional music production tools to the masses at no cost...",2026-08-22T13:22:22.888544+00:00
BeatSkillz offers EDYN preamp,,FREE,2026-08-22,https://bedroomproducersblog.com/2026/08/22/beatskillz-edyn-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/edyn-free.jpg,"BeatSkillz and Tone Empire are offering EDYN Preamp as a free download until August 29th, alongside the launch of the new BeatSkillz Echorium delay plugin. EDYN is a discrete transistor preamp model f...",2026-08-22T13:22:22.888544+00:00
Lyre,The Crow Hill Company,FREE,2026-08-22,https://bedroomproducersblog.com/2026/08/22/crow-hill-lyre/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/TheCrowHillCompany-Lyre.jpg,"Lyre is the latest addition to the Crow Hill Company’s increasingly impressive Vaults series. If you’re new around here, Vaults is a collection of outstanding (sometimes weird and wonderful) instrumen...",2026-08-22T13:22:22.888544+00:00
Trama,,FREE,2026-08-22,https://bedroomproducersblog.com/2026/08/22/trama-ai-stem-separator/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/trama.jpg,"Ohlhorst Digital’s Trama is a free standalone AI stem separator for Windows, macOS, and Linux. We recently featured StemDeck, a free and open-source local stem splitter that separates a track into up ...",2026-08-23T02:20:58.765236+00:00
Medallo Doubler,Jesus Oyola,FREE,2026-08-21,https://bedroomproducersblog.com/2026/08/21/medallo-doubler/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/medallo-doubler.jpg,"Jesus Oyola has released Medallo Doubler, a free vocal doubler and stacker available through Patreon. I’ve used various vocal doubling plugins in the past, and I’ve never been 100% happy with the outc...",2026-08-22T02:11:49.401900+00:00
