プラグイン名,配布元,カテゴリ,種別,商品URL,サムネイルURL,評価,取得日時
2RuleSynth V3,2Rule,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/10152-2RuleSynth-V3?a_aid=688228cd487ff,https://banners.pluginboutique.com/utx6as4ucxpsol3k13hl466to0yv,4.2,2026-08-17T02:52:41.890415+00:00
TugGlicento 3,2Rule,Multi-Effect,FREE,https://www.pluginboutique.com/product/2-Effects/53-Multi-Effect-/9702-TugGlicento-3?a_aid=688228cd487ff,https://banners.pluginboutique.com/f408bm8ykemoqwaw7mm364htelrb,4.3,2026-06-29T06:29:29.637136+00:00
Speedrum Lite,Apisonic Labs,Sampler,FREE,https://www.pluginboutique.com/product/1-Instruments/5-Sampler/8072-Speedrum-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/zq3sr8g7hxqfcnafb3jf4btyxhie,4.3,2026-08-03T05:32:56.188312+00:00
Analog Lab Play,Arturia,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/11581-Analog-Lab-Play?a_aid=688228cd487ff,https://banners.pluginboutique.com/g1wpetncdfiiyc92x0if41t6a03q,4.7,2026-08-17T02:52:41.890415+00:00
Audacity,Audacity,DAW,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/23-DAW/385-Audacity?a_aid=688228cd487ff,https://banners.pluginboutique.com/agm5uf2hg3qijit00rfjn2zn6iu1,4.4,2026-08-17T02:52:58.230073+00:00
Evil OTTO,Audio Damage,Compressor,FREE,https://www.pluginboutique.com/product/2-Effects/8-Compressor/17409-Evil-OTTO?a_aid=688228cd487ff,https://banners.pluginboutique.com/juy0veh1ggmx5n1kqtly6wkozgtm,3.8,2026-08-17T02:52:25.370899+00:00
Old Times Impulse Responses (Expansion Library for Fog Convolver),AudioThing,Impulse Response,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/92-Impulse-Response/2458-Old-Times-Impulse-Responses-Expansion-Library-for-Fog-Convolver-?a_aid=688228cd487ff,https://banners.pluginboutique.com/5smgwah29fos9i5zfx1px5vh9wg8,4.5,2026-08-17T02:52:58.230073+00:00
Loopmix Expansion: Blend Free,Audiomodern,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/11073-Loopmix-Expansion-Blend-Free?a_aid=688228cd487ff,https://banners.pluginboutique.com/yaa46xl0arl5yiulnymtqojdrekn,4.4,2026-08-17T02:52:41.890415+00:00
Loopmix Expansion: Blend II,Audiomodern,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/10207-Loopmix-Expansion-Blend-II?a_aid=688228cd487ff,https://banners.pluginboutique.com/xtldnxqq60ftksgj1de4tppa12m0,4.5,2026-08-17T02:52:41.890415+00:00
Loopmix Expansion: KRFT Jams,Audiomodern,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/10111-Loopmix-Expansion-KRFT-Jams?a_aid=688228cd487ff,https://banners.pluginboutique.com/qnkaoze5xciw5mbthie6uw2jcdfi,4.4,2026-08-17T02:52:41.890415+00:00
Loopmix Expansion: SHIFT,Audiomodern,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/11667-Loopmix-Expansion-SHIFT?a_aid=688228cd487ff,https://banners.pluginboutique.com/as3mn50hwcesxm2wkr59wumnhz88,4.4,2026-08-17T02:52:41.890415+00:00
Mechania: Soundbox Instrument,Audiomodern,Virtual Instruments,FREE,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/14009-Mechania-Soundbox-Instrument?a_aid=688228cd487ff,https://banners.pluginboutique.com/quh1937jjwi6wnzxiyv10c5gfcra,4.5,2026-08-17T02:52:41.890415+00:00
Rustwave | Playbeat 4 Expansion,Audiomodern,Expansion Packs,FREE,https://www.pluginboutique.com/product/2-Effects/76-Expansion-Packs/14843-Rustwave-Playbeat-4-Expansion?a_aid=688228cd487ff,https://banners.pluginboutique.com/f9qcp7me06901qdad5al02hnc88v,4.5,2026-08-17T02:52:25.370899+00:00
Spectra: Soundbox Instrument,Audiomodern,Virtual Instruments,FREE,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/14470-Spectra-Soundbox-Instrument?a_aid=688228cd487ff,https://banners.pluginboutique.com/c3sqg59ynbl650atqo5jup64k8dg,4.4,2026-08-17T02:52:41.890415+00:00
VRAC,BEATSURFING,Drum Machine,FREE,https://www.pluginboutique.com/product/1-Instruments/7-Drum-Machine/17592-VRAC?a_aid=688228cd487ff,https://banners.pluginboutique.com/gi393qna8mpeih2l60haktaaymtw,,2026-08-17T02:52:41.890415+00:00
BFD Player,BFD,Drum Machine,FREE,https://www.pluginboutique.com/product/1-Instruments/7-Drum-Machine/11402-BFD-Player?a_aid=688228cd487ff,https://banners.pluginboutique.com/ljnaqukpue1dz8pln1dyukk5310k,4.6,2026-08-17T02:52:41.890415+00:00
BLEASS Monolit,BLEASS,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/9223-BLEASS-Monolit?a_aid=688228cd487ff,https://banners.pluginboutique.com/zrw256zws08kxkulsj1amq2nw0nm,4.4,2026-08-17T02:52:41.890415+00:00
The Beat Community (Preset Pack for BLEASS Omega),BLEASS,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/8618-The-Beat-Community-Preset-Pack-for-BLEASS-Omega-?a_aid=688228cd487ff,https://banners.pluginboutique.com/4gsl9vtvluijijiixiwrcc7u3ign,4.0,2026-08-17T02:52:41.890415+00:00
MPC Expansion: Electro Encounter,Beat,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/9281-MPC-Expansion-Electro-Encounter?a_aid=688228cd487ff,https://banners.pluginboutique.com/o60anym8s6iu54cujxe6rk0jsd2t,4.3,2026-08-17T02:52:41.890415+00:00
MPC Expansion: The Trickster,Beat,Expansion Packs,FREE,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/9280-MPC-Expansion-The-Trickster?a_aid=688228cd487ff,https://banners.pluginboutique.com/14ggmen019rbyqk2cdspwtqb2nex,4.5,2026-08-17T02:52:41.890415+00:00
Blue Cat's Gain Suite,Blue Cat Audio,Gain,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/47-Gain/274-Blue-Cat-s-Gain-Suite?a_aid=688228cd487ff,https://banners.pluginboutique.com/82nt5xptrr8m3rpur36mmodzq2oc,4.5,2026-08-17T02:52:58.230073+00:00
IRDX Studio FREE,Bogren Digital,Impulse Response,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/92-Impulse-Response/17347-IRDX-Studio-FREE?a_aid=688228cd487ff,https://banners.pluginboutique.com/art78snjyt6c6mhw3sgeb5tu51em,4.7,2026-08-17T02:52:58.230073+00:00
Guitar Pickup Selector,Boz Digital Labs,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/2761-Guitar-Pickup-Selector?a_aid=688228cd487ff,https://banners.pluginboutique.com/urx4n17fijz7dt681ow2fb9a7btt,4.4,2026-08-17T02:52:58.230073+00:00
Panipulator 2,Boz Digital Labs,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/2157-Panipulator-2?a_aid=688228cd487ff,https://banners.pluginboutique.com/ppdejilu0shzyltkekinp5x8yans,4.6,2026-08-17T02:52:58.230073+00:00
TX16Wx Software Sampler,CWITEC,Sampler,FREE,https://www.pluginboutique.com/product/1-Instruments/5-Sampler/17446-TX16Wx-Software-Sampler?a_aid=688228cd487ff,https://banners.pluginboutique.com/hr4msci0um69mq44ybe2hlbraqze,,2026-08-17T02:52:41.890415+00:00
Synthesizer Expander Module,Cherry Audio,Synth,FREE,https://www.pluginboutique.com/product/1-Instruments/4-Synth/12169-Synthesizer-Expander-Module?a_aid=688228cd487ff,https://banners.pluginboutique.com/e9u247epa3c6gshze1r4ygjz35go,4.6,2026-08-17T02:52:41.890415+00:00
CHOW BYOD,ChowDSP,Distortion,FREE,https://www.pluginboutique.com/product/2-Effects/30-Distortion/9559-CHOW-BYOD?a_aid=688228cd487ff,https://banners.pluginboutique.com/9s5r79hxb90ojhznhw94xib3welk,4.5,2026-06-22T07:12:05.462563+00:00
Colors: Free Version,Cinematique Instruments,Kontakt Instrument,FREE,https://www.pluginboutique.com/product/1-Instruments/55-Kontakt-Instrument/9252-Colors-Free-Version?a_aid=688228cd487ff,https://banners.pluginboutique.com/o6tow847tr4j3y2yzuypuxbw8ahh,4.4,2026-08-17T02:52:41.890415+00:00
DJ Swivel Mix Templates,DJ Swivel,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/6807-DJ-Swivel-Mix-Templates?a_aid=688228cd487ff,https://banners.pluginboutique.com/h5p3ocvz9owjxkk3y7cjopx5rvsa,4.3,2026-08-17T02:52:58.230073+00:00
LAYER IT Lite,Diginoiz,Sampler,FREE,https://www.pluginboutique.com/product/1-Instruments/5-Sampler/16949-LAYER-IT-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/fw3m7uytqp9nsobflvqpp078a198,4.5,2026-08-17T02:52:41.890415+00:00
Spire Essentials,Diginoiz,Synth Presets,FREE,https://www.pluginboutique.com/product/1-Instruments/31-Synth-Presets/13418-Spire-Essentials?a_aid=688228cd487ff,https://banners.pluginboutique.com/eopnt4u3cxgml3sxy0dm8caei75s,4.6,2026-08-17T02:52:41.890415+00:00
Audiogram,Digital Brain Instruments,Utility,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/72-Utility/9751-Audiogram-?a_aid=688228cd487ff,https://banners.pluginboutique.com/tprvxx42e6m551g7gnn3cvnnbfpc,4.4,2026-08-17T02:52:58.230073+00:00
Hot Potato,DirektDSP,Distortion,FREE,https://www.pluginboutique.com/product/2-Effects/30-Distortion/10389-Hot-Potato?a_aid=688228cd487ff,https://banners.pluginboutique.com/rvwe9bbrh5jzhoo6la4idm39aq60,4.3,2026-07-13T05:27:12.628139+00:00
Esmeralda,Ear Candy Technologies,Reverb,FREE,https://www.pluginboutique.com/product/2-Effects/17-Reverb/9349-Esmeralda?a_aid=688228cd487ff,https://banners.pluginboutique.com/9qsoxncz3zqrjzjz6hkw2zdo95jj,4.1,2026-06-01T06:46:46.635046+00:00
Ruby,Ear Candy Technologies,Delay,FREE,https://www.pluginboutique.com/product/2-Effects/10-Delay/9528-Ruby?a_aid=688228cd487ff,https://banners.pluginboutique.com/tez3mh94yd9z8i3ifeigwvk9dfop,4.2,2026-06-08T06:29:11.290135+00:00
Zafiro,Ear Candy Technologies,Multi-Effect,FREE,https://www.pluginboutique.com/product/2-Effects/53-Multi-Effect-/9530-Zafiro?a_aid=688228cd487ff,https://banners.pluginboutique.com/9lynq8l4a7f1q8ogdzlipdxbt02n,4.1,2026-06-08T06:29:11.290135+00:00
Poltergeist,EffectiveFX,Multi-Effect,FREE,https://www.pluginboutique.com/product/2-Effects/53-Multi-Effect-/16641-Poltergeist?a_aid=688228cd487ff,https://banners.pluginboutique.com/l3whnlgpw45ifa28gl1cgs5emmuq,4.3,2026-08-17T02:52:25.370899+00:00
808 Bass Module 4 Lite,Electronik Sound Lab,Virtual Instruments,FREE,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/7906-808-Bass-Module-4-Lite?a_aid=688228cd487ff,https://banners.pluginboutique.com/uwmfe7txi425t19mocs6yqfja7ys,4.4,2026-07-13T05:27:26.346758+00:00
Endlesss Studio,Endlesss,DAW,FREE,https://www.pluginboutique.com/product/3-Studio-Tools/23-DAW/7457-Endlesss-Studio?a_aid=688228cd487ff,https://banners.pluginboutique.com/a6sed738ch73700ddyxuigb9t5hq,4.3,2026-08-17T02:52:58.230073+00:00
Best of Free VST Plugins Bundle,Exclusive Bundles+,Free Bundles,FREE,https://www.pluginboutique.com/product/81-Bundles/141-Free-Bundles/16093-Best-of-Free-VST-Plugins-Bundle?a_aid=688228cd487ff,https://banners.pluginboutique.com/lgv0zhwul1vdm88qxksyz38o3t44,4.5,2026-08-17T02:53:12.157672+00:00
Free Beatmaker Bundle,Exclusive Bundles+,Free Bundles,FREE,https://www.pluginboutique.com/product/81-Bundles/141-Free-Bundles/17449-Free-Beatmaker-Bundle?a_aid=688228cd487ff,https://banners.pluginboutique.com/g57oycs2yo9zfnat5p9td58lkige,4.3,2026-08-17T02:53:12.157672+00:00
RS-W2395c Neo Classic Baxandall EQ,Fuse Audio Labs,EQ,FREE,https://www.pluginboutique.com/product/2-Effects/16-EQ/13914-RS-W2395c-Neo-Classic-Baxandall-EQ?a_aid=688228cd487ff,https://banners.pluginboutique.com/w6ibl4ejbxl2lwsn3aj5uitvivfa,4.6,2026-07-27T05:40:37.925276+00:00
VPRE-72 Vintage Tube Pre-Amp,Fuse Audio Labs,Preamp,FREE,https://www.pluginboutique.com/product/2-Effects/74-Preamp/13558-VPRE-72-Vintage-Tube-Pre-Amp?a_aid=688228cd487ff,https://banners.pluginboutique.com/8svzs35hc0up7wyr7ilixm3jzj5j,4.5,2026-08-17T02:52:25.370899+00:00
