プラグイン名,セール価格,定価,セール率,終了日,商品URL
Evolve Nest Acoustics Lite,$19.00,$29.00,34% OFF,30 Jun,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/17359-Evolve-Nest-Acoustics-Lite?a_aid=688228cd487ff
Carbon Electra 2 Upgrade from Carbon Electra,$39.00,$99.00,60% OFF,30 Jun,https://www.pluginboutique.com/product/1-Instruments/4-Synth/17387-Carbon-Electra-2-Upgrade-from-Carbon-Electra?a_aid=688228cd487ff
Excite Audio Bundle,$359.00,$718.00,50% OFF,30 Jun,https://www.pluginboutique.com/product/81-Bundles/89-Complete-Collection/9866-Excite-Audio-Bundle?a_aid=688228cd487ff
Evolve Nest Acoustics,$39.00,$59.00,33% OFF,30 Jun,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/17068-Evolve-Nest-Acoustics?a_aid=688228cd487ff
Bloom Mura Masa Lite,$19.00,$29.00,34% OFF,30 Jun,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/15903-Bloom-Mura-Masa-Lite?a_aid=688228cd487ff
Moog Minimoog,$29.00,$149.00,80% OFF,30 Jun,https://www.pluginboutique.com/product/1-Instruments/64-Virtual-Instruments/10188-Moog-Minimoog?a_aid=688228cd487ff
Empirical Labs EL8 Distressor Compressor,$39.00,$199.00,80% OFF,30 Jun,https://www.pluginboutique.com/product/2-Effects/8-Compressor/11502-Empirical-Labs-EL8-Distressor-Compressor?a_aid=688228cd487ff
Core Collection,$29.00,$249.00,88% OFF,16 Jun,https://www.pluginboutique.com/product/81-Bundles/89-Complete-Collection/11366-Core-Collection?a_aid=688228cd487ff
Portal,$74.50,$149.00,50% OFF,11 Jun,https://www.pluginboutique.com/product/2-Effects/45-Granular-FX/5458-Portal?a_aid=688228cd487ff
Tube Tech CL 1B Mk II,$69.00,$199.00,65% OFF,14 Jun,https://www.pluginboutique.com/product/2-Effects/8-Compressor/11535-Tube-Tech-CL-1B-Mk-II?a_aid=688228cd487ff
InTune Chorus,$9.99,$199.00,94% OFF,14 Jun,https://www.pluginboutique.com/product/2-Effects/54-Vocal-Processing/16033-InTune-Chorus?a_aid=688228cd487ff
Fixate Midrange,$79.00,$139.00,43% OFF,24 Jun,https://www.pluginboutique.com/product/2-Effects/71-Dynamics-Processor/17321-Fixate-Midrange?a_aid=688228cd487ff
A Type Multiband Dynamic Enhancer,$39.00,$149.00,73% OFF,30 Jun,https://www.pluginboutique.com/product/2-Effects/42-Enhancer/15130-A-Type-Multiband-Dynamic-Enhancer?a_aid=688228cd487ff
Inner Pitch,$9.99,$29.00,65% OFF,14 Jun,https://www.pluginboutique.com/product/2-Effects/35-Pitch-Shifter/11930-Inner-Pitch?a_aid=688228cd487ff
Ampex ATR 102 Mastering Tape Recorder,$39.00,$199.00,80% OFF,30 Jun,https://www.pluginboutique.com/product/2-Effects/96-Tape-Emulation/12716-Ampex-ATR-102-Mastering-Tape-Recorder?a_aid=688228cd487ff
Manley Massive Passive,$39.00,$149.00,73% OFF,30 Jun,https://www.pluginboutique.com/product/2-Effects/16-EQ/11498-Manley-Massive-Passive?a_aid=688228cd487ff
Studer A800 Tape Recorder,$39.00,$199.00,80% OFF,30 Jun,https://www.pluginboutique.com/product/2-Effects/96-Tape-Emulation/10185-Studer-A800-Tape-Recorder?a_aid=688228cd487ff
Evolve Bundle,$89.00,$179.00,50% OFF,30 Jun,https://www.pluginboutique.com/product/81-Bundles/58-Instrument-Bundles/15712-Evolve-Bundle?a_aid=688228cd487ff
Excite Audio Bundle Crossgrade From Any Excite Audio Product,$259.00,$718.00,63% OFF,30 Jun,https://www.pluginboutique.com/product/81-Bundles/89-Complete-Collection/14789-Excite-Audio-Bundle-Crossgrade-From-Any-Excite-Audio-Product?a_aid=688228cd487ff
SoundID VoiceAI Perpetual Expansions Bundle,$99.00,$149.00,33% OFF,06 Jun,https://www.pluginboutique.com/product/81-Bundles/58-Instrument-Bundles/15969-SoundID-VoiceAI-Perpetual-Expansions-Bundle?a_aid=688228cd487ff
Playbeat 4 Expansions Bundle,$69.00,$99.00,30% OFF,11 Jun,https://www.pluginboutique.com/product/81-Bundles/58-Instrument-Bundles/14502-Playbeat-4-Expansions-Bundle?a_aid=688228cd487ff
Plugin Boutique Serum Presets Bundle,$29.00,$99.00,70% OFF,04 Jul,https://www.pluginboutique.com/product/1-Instruments/31-Synth-Presets/9747-Plugin-Boutique-Serum-Presets-Bundle?a_aid=688228cd487ff
UAD Select 2,$49.00,$149.00,67% OFF,30 Jun,https://www.pluginboutique.com/product/81-Bundles/97-Various-Category/13907-UAD-Select-2?a_aid=688228cd487ff
UAD Build Your Own Bundle Mix Tape Pro,$99.00,$149.00,33% OFF,30 Jun,https://www.pluginboutique.com/product/81-Bundles/39-Effects-Bundles/17197-UAD-Build-Your-Own-Bundle-Mix-Tape-Pro?a_aid=688228cd487ff
Diva Expansions Bundle,$12.00,$39.00,69% OFF,04 Jul,https://www.pluginboutique.com/product/1-Instruments/70-Expansion-Packs/8481-Diva-Expansions-Bundle?a_aid=688228cd487ff
Paradise Guitar Studio,$99.00,$199.00,50% OFF,30 Jun,https://www.pluginboutique.com/product/81-Bundles/39-Effects-Bundles/16487-Paradise-Guitar-Studio?a_aid=688228cd487ff
Plugin Boutique VirtualCZ Complete Expansion Bundle,$29.00,$79.00,63% OFF,04 Jul,https://www.pluginboutique.com/product/81-Bundles/89-Complete-Collection/7222-Plugin-Boutique-VirtualCZ-Complete-Expansion-Bundle?a_aid=688228cd487ff
